repo,vulnerabilidad,severidad,paquete,version_instalada,version_corregida,tipo_paquete,ubicacion,archivo_origen
AutoGPT,GHSA-h526-wf6g-67jv,Critical,@orval/core,7.13.0,7.19.0,npm,/autogpt_platform/frontend/pnpm-lock.yaml,data/results/AutoGPT-grype-raw.json
AutoGPT,GHSA-jjhc-v7c2-5hh6,Critical,litellm,1.80.0,1.83.0,python,/classic/poetry.lock,data/results/AutoGPT-grype-raw.json
AutoGPT,GHSA-mwr6-3gp8-9jmj,Critical,@orval/mcp,7.13.0,7.18.0,npm,/autogpt_platform/frontend/pnpm-lock.yaml,data/results/AutoGPT-grype-raw.json
AutoGPT,GHSA-xq3m-2v4x-88gg,Critical,protobufjs,7.5.4,7.5.5,npm,/autogpt_platform/frontend/pnpm-lock.yaml,data/results/AutoGPT-grype-raw.json
developer-roadmap,GHSA-fjxv-7rqg-78g4,Critical,form-data,4.0.2,4.0.4,npm,/pnpm-lock.yaml,data/results/developer-roadmap-grype-raw.json
freeCodeCamp,GHSA-cpq7-6gpm-g9rc,Critical,cipher-base,1.0.4,1.0.5,npm,/pnpm-lock.yaml,data/results/freeCodeCamp-grype-raw.json
freeCodeCamp,GHSA-fjxv-7rqg-78g4,Critical,form-data,4.0.2,4.0.4,npm,/pnpm-lock.yaml,data/results/freeCodeCamp-grype-raw.json
freeCodeCamp,GHSA-m7jm-9gc2-mpf2,Critical,fast-xml-parser,4.2.5,4.5.4,npm,/pnpm-lock.yaml,data/results/freeCodeCamp-grype-raw.json
freeCodeCamp,GHSA-rpr9-rxv7-x643,Critical,sanitize-html,2.17.3,2.17.4,npm,/pnpm-lock.yaml,data/results/freeCodeCamp-grype-raw.json
n8n,GHSA-248r-7h7q-cr24,Critical,vm2,3.11.2,3.11.3,npm,/pnpm-lock.yaml,data/results/n8n-grype-raw.json
n8n,GHSA-2w6w-674q-4c4q,Critical,handlebars,4.7.8,4.7.9,npm,/.github/scripts/pnpm-lock.yaml,data/results/n8n-grype-raw.json
n8n,GHSA-67hx-6x53-jw92,Critical,@babel/traverse,7.21.4,7.23.2,npm,/packages/@n8n/tournament/pnpm-lock.yaml,data/results/n8n-grype-raw.json
n8n,GHSA-69fq-xp46-6x23,Critical,aquasecurity/trivy-action,v0.34.1,0.35.0,github-action,/.github/workflows/security-trivy-scan-callable.yml,data/results/n8n-grype-raw.json
stable-diffusion-webui,GHSA-3863-2447-669p,Critical,transformers,4.30.2,4.36.0,python,/requirements.txt,data/results/stable-diffusion-webui-grype-raw.json
stable-diffusion-webui,GHSA-3863-2447-669p,Critical,transformers,4.30.2,4.36.0,python,/requirements_versions.txt,data/results/stable-diffusion-webui-grype-raw.json
stable-diffusion-webui,GHSA-3f63-hfp8-52jq,Critical,pillow,9.5.0,10.2.0,python,/requirements_versions.txt,data/results/stable-diffusion-webui-grype-raw.json
stable-diffusion-webui,GHSA-4cv3-v7pv-rfhf,Critical,pytorch-lightning,1.9.4,2.4.0,python,/requirements_versions.txt,data/results/stable-diffusion-webui-grype-raw.json
stable-diffusion-webui,GHSA-gqvf-3hgp-5hxv,Critical,gradio,3.41.2,4.14.0,python,/requirements.txt,data/results/stable-diffusion-webui-grype-raw.json
stable-diffusion-webui,GHSA-gqvf-3hgp-5hxv,Critical,gradio,3.41.2,4.14.0,python,/requirements_versions.txt,data/results/stable-diffusion-webui-grype-raw.json
stable-diffusion-webui,GHSA-j2jg-fq62-7c3h,Critical,gradio,3.41.2,5.11.0,python,/requirements.txt,data/results/stable-diffusion-webui-grype-raw.json
stable-diffusion-webui,GHSA-j2jg-fq62-7c3h,Critical,gradio,3.41.2,5.11.0,python,/requirements_versions.txt,data/results/stable-diffusion-webui-grype-raw.json
stable-diffusion-webui,GHSA-m842-4qm8-7gpq,Critical,gradio,3.41.2,4.19.2,python,/requirements_versions.txt,data/results/stable-diffusion-webui-grype-raw.json
stable-diffusion-webui,GHSA-m842-4qm8-7gpq,Critical,gradio,3.41.2,4.19.2,python,/requirements.txt,data/results/stable-diffusion-webui-grype-raw.json
ui,GHSA-2w6w-674q-4c4q,Critical,handlebars,4.7.8,4.7.9,npm,/templates/react-router-monorepo/pnpm-lock.yaml,data/results/ui-grype-raw.json
ui,GHSA-2w6w-674q-4c4q,Critical,handlebars,4.7.8,4.7.9,npm,/templates/next-monorepo/pnpm-lock.yaml,data/results/ui-grype-raw.json
ui,GHSA-2w6w-674q-4c4q,Critical,handlebars,4.7.8,4.7.9,npm,/templates/vite-monorepo/pnpm-lock.yaml,data/results/ui-grype-raw.json
ui,GHSA-2w6w-674q-4c4q,Critical,handlebars,4.7.8,4.7.9,npm,/templates/start-monorepo/pnpm-lock.yaml,data/results/ui-grype-raw.json
ui,GHSA-5rq4-664w-9x2c,Critical,basic-ftp,5.0.5,5.2.0,npm,/templates/next-monorepo/pnpm-lock.yaml,data/results/ui-grype-raw.json
ui,GHSA-5rq4-664w-9x2c,Critical,basic-ftp,5.0.5,5.2.0,npm,/pnpm-lock.yaml,data/results/ui-grype-raw.json
ui,GHSA-9qr9-h5gf-34mp,Critical,next,15.4.4,15.4.8,npm,/packages/tests/fixtures/next-app-init/package-lock.json,data/results/ui-grype-raw.json
